diff	lwr	upr	p adj	location	day	ad_metric	q.value
sub-ctrl45	-32.2	-67.3418362669362	2.94183626693625	0.0772470975767292	ic	2	sobs	0.292725843448658
ther-ctrl45	-22.6	-57.7418362669362	12.5418362669362	0.265205694343023	ic	2	sobs	0.636493666423255
ther-sub45	9.59999999999999	-25.5418362669362	44.7418362669362	0.778536388358223	ic	2	sobs	0.999999984904248
sub-ctrl46	-31.3888411	-68.9662551193987	6.18857291939876	0.114943106631977	ic	2	chao	0.353202222699104
ther-ctrl46	-23.5794547	-61.1568687193987	13.9979593193988	0.281754122051118	ic	2	chao	0.65439667057034
ther-sub46	7.80938639999999	-29.7680276193987	45.3868004193987	0.864582200687433	ic	2	chao	0.999999984904248
sub-ctrl47	-33.4635923	-70.4249468197237	3.49776221972376	0.0816139758078667	ic	2	ace	0.296778093846788
ther-ctrl47	-22.8583142	-59.8196687197237	14.1030403197238	0.291653546929613	ic	2	ace	0.668759725443698
ther-sub47	10.6052781	-26.3560764197237	47.5666326197237	0.758900384235091	ic	2	ace	0.999999984904248
sub-ctrl48	-1.6001092	-4.80264438175304	1.60242598175303	0.441274950644825	ic	2	invsimpson	0.840442488359895
ther-ctrl48	-3.1077374	-6.31027258175303	0.0947977817530341	0.0584669631253	ic	2	invsimpson	0.259507522672847
ther-sub48	-1.5076282	-4.71016338175303	1.69490698175303	0.482427494208952	ic	2	invsimpson	0.872733155352879
sub-ctrl49	-0.385035099999999	-1.05699783656739	0.286927636567395	0.344699803692345	ic	2	shannon	0.728431008233535
ther-ctrl49	-0.566446999999999	-1.23840973656739	0.105515736567395	0.110817476404695	ic	2	shannon	0.349949925488509
ther-sub49	-0.1814119	-0.853374636567395	0.490550836567394	0.783051216673997	ic	2	shannon	0.999999984904248
sub-ctrl50	47	-3.0874194660311	97.087419466031	0.0690329649652276	ic	35	sobs	0.270649311379182
ther-ctrl50	-9.60000000000001	-59.6874194660311	40.4874194660311	0.883490863418092	ic	35	sobs	0.999999984904248
ther-sub50	-56.6	-106.687419466031	-6.51258053396891	0.0243917157225488	ic	35	sobs	0.172698413432345
sub-ctrl51	43.7586784	-10.7690160990995	98.2863728990995	0.134064990950425	ic	35	chao	0.394614139667275
ther-ctrl51	-10.7023557	-65.2300501990995	43.8253387990995	0.878208375131949	ic	35	chao	0.999999984904248
ther-sub51	-54.4610341	-108.988728599099	0.0666603990995256	0.050326840469533	ic	35	chao	0.258823750986169
sub-ctrl52	46.2341958	-4.9582342070786	97.4266258070786	0.0825280353264868	ic	35	ace	0.297100927175352
ther-ctrl52	-8.1197344	-59.3121644070786	43.0726956070786	0.918540193686304	ic	35	ace	0.999999984904248
ther-sub52	-54.3539302	-105.546360207079	-3.1615001929214	0.0357669991768887	ic	35	ace	0.217444277331575
