"d78_cc_ctrl"	"d78_cc_sub"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"deoxycarnitine"	-1.58860353464044	-1.23643405442997	-1.48751047368127	0.00667857142857143
"deoxycholate"	1.29120966828364	2.20106557366892	1.81020451651443	0.0144428571428571
"dihomolinoleate (20:2n6)"	0	0	0	0.00113333333333333
"dihomolinolenate (20:3n3 or 3n6)"	-0.426409185675988	-1.38701725030211	-0.896330162714078	0.00999507936507936
"dihydroferulic acid"	-1.0001000150025	0	-1.0001000150025	0.000333333333333333
"dihydroorotate"	0	0	0	0.00575111111111111
"dihydroxyacetone phosphate (DHAP)"	0	0	0	0
"dimethyl sulfone"	-0.242537051729069	-1.41449648996668	-0.889367630191322	0.00294285714285714
"dimethylarginine (ADMA + SDMA)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.000355555555555556
"dimethylglycine"	1.86325601539469	1.81785261126273	2.13442661074195	0.0327495238095238
"dimethylmalonic acid"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00153333333333333
"docosadienoate (22:2n6)"	-1.97642991813567	-1.78625700223531	-1.9343158983694	0.00881428571428571
"docosapentaenoate (n6 DPA; 22:5n6)"	0	-1.0001000150025	-1.0001000150025	0.000876190476190476
"dodecanedioate (C12)"	4.38211289801504	4.19115997124558	4.72378783079264	0.0601798412698413
"ectoine"	-1.38701725030211	-1.26511349842314	-1.34188234706475	0.00412
"eicosapentaenoate (EPA; 20:5n3)"	0	-1.0001000150025	-1.0001000150025	0.00365333333333333
"eicosenoate (20:1n9 or 1n11)"	-1.0001000150025	-1.0001000150025	-1.40584162388088	0.00311714285714286
"enterodiol"	1.72379286398921	2.18386141907487	2.22802766082521	0.00812474747474748
"enterolactone"	0	0	0	0.00442
"equol"	0	0	0	0.00100333333333333
"equol sulfate"	2.23718685071341	2.24421806690116	2.85517520478845	0.0249492063492063
"ergothioneine"	0.707142139177478	0.304606675800705	0.499934387917096	0.0209349206349206
"erucate (22:1n9)"	0	0	0	0.00192857142857143
"erythritol"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00258888888888889
"erythronate*"	-1.25743588589291	-1.70610212367578	-1.35318889358196	0.01314
"erythrose"	-0.262614676861393	-0.447222540040205	-0.305394807390582	0.011252380952381
"ethylmalonate"	-0.447222540040205	-1.0001000150025	-0.447222540040205	0.00680888888888889
"ferulate"	-1.0001000150025	0	-1.0001000150025	0.00276285714285714
"FMN"	0	-1.0001000150025	-1.0001000150025	0.00067
"FAD"	4.03769546898672	4.31406850067574	4.65629402239817	0.0498033333333333
"formiminoglutamate"	-1.41449648996668	-1.0001000150025	-1.34188234706475	0.00343015873015873
"fructose"	0.898098940388469	-1.31329077756478	-0.287350258192951	0.00851
"fucose"	-0.727645398532215	-1.0001000150025	-0.632480831772952	0.00313333333333333
"fumarate"	0	0	0	0.00343111111111111
"galactitol (dulcitol)"	-0.742039370982151	-0.45091880663251	-1.58052609180136	0.0152118903318903
"galactonate"	0	0	0	0.000633333333333333
"gamma-aminobutyrate (GABA)"	-1.41449648996668	-1.0001000150025	-1.34188234706475	0.00774
"gamma-CEHC"	0	0	0	0.000711111111111111
"gamma-glutamyl-alpha-lysine"	-1.38701725030211	-1.60632445314792	-1.62873658147172	0.00227777777777778
"gamma-glutamyl-epsilon-lysine"	0	0	0	0.000705555555555556
"gamma-glutamylalanine"	1.0809985343709	0.87293807304533	0.817652170106203	0.0335334920634921
"gamma-glutamylglutamate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00201666666666667
"gamma-glutamylglutamine"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00481269841269841
"gamma-glutamylglycine"	0	0	0	0.00244666666666667
